SAMPLE BANK STATEMENT

Account Holder: Jordan Smith
Account Number: XXXX-XXXX
Period: 01 Jan 2025 - 31 Mar 2025
Starting Balance: $1,150.42

DATE        DESCRIPTION                               DEBIT       CREDIT      BALANCE
------------------------------------------------------------------------------------------------
01-Jan      Opening Balance                                                  1,150.42
02-Jan      Employer Payroll                                    1,600.00     2,750.42
03-Jan      Rent Payment                           575.00                     2,175.42
04-Jan      Woolworths                              96.24                     2,079.18
05-Jan      Ampol Fuel                              58.42                     2,020.76
06-Jan      Spotify Premium                         11.99                     2,008.77
06-Jan      Netflix                                 18.99                     1,989.78
08-Jan      Mobile Phone                            55.00                     1,934.78
10-Jan      Gym Membership                          19.99                     1,914.79
12-Jan      Grill'd                                 42.50                     1,872.29
15-Jan      Coles                                  103.42                     1,768.87

16-Jan      Employer Payroll                                    1,600.00     3,368.87

18-Jan      AAMI Insurance                         112.00                     3,256.87
20-Jan      Utilities                               82.45                     3,174.42
21-Jan      Steam Games                             18.95                     3,155.47
22-Jan      Aldi                                   89.63                     3,065.84
24-Jan      Local Hotel                             38.70                     3,027.14
25-Jan      Ampol Fuel                              55.84                     2,971.30
27-Jan      Amazon                                 32.95                     2,938.35
29-Jan      Woolworths                             76.15                     2,862.20
31-Jan      Interest Credit                                      1.35        2,863.55
31-Jan      Rent Payment                           575.00                     2,288.55

30-Jan      Employer Payroll                                    1,600.00     3,888.55

02-Feb      Coles                                  97.42                     3,791.13
04-Feb      Ampol Fuel                             59.14                     3,731.99
05-Feb      Spotify Premium                        11.99                     3,720.00
06-Feb      Disney+                                13.99                     3,706.01
08-Feb      Mobile Phone                           55.00                     3,651.01
10-Feb      Gym Membership                         19.99                     3,631.02
13-Feb      Zambrero                               24.20                     3,606.82

13-Feb      Employer Payroll                                    1,600.00     5,206.82

15-Feb      Woolworths                             81.46                     5,125.36
16-Feb      Event Cinemas                          24.00                     5,101.36
18-Feb      Utilities                              79.25                     5,022.11
20-Feb      Amazon                                72.40                     4,949.71
22-Feb      Aldi                                   88.06                     4,861.65
24-Feb      Steam Games                            24.99                     4,836.66
26-Feb      Pub Meal                               36.45                     4,800.21
28-Feb      Rent Payment                          575.00                     4,225.21
28-Feb      Interest Credit                                      1.48        4,226.69

27-Feb      Employer Payroll                                    1,600.00     5,826.69

03-Mar      Woolworths                            104.66                     5,722.03
04-Mar      Ampol Fuel                             57.85                     5,664.18
05-Mar      Spotify Premium                        11.99                     5,652.19
06-Mar      Netflix                                18.99                     5,633.20
08-Mar      Mobile Phone                           55.00                     5,578.20
10-Mar      Gym Membership                         19.99                     5,558.21
12-Mar      Coles                                  91.58                     5,466.63

13-Mar      Employer Payroll                                    1,600.00     7,066.63

15-Mar      AAMI Insurance                        112.00                     6,954.63
16-Mar      Hoyts Cinemas                          22.00                     6,932.63
18-Mar      Utilities                              84.10                     6,848.53
20-Mar      Aldi                                   96.37                     6,752.16
22-Mar      Bowling Night                          24.00                     6,728.16
24-Mar      Woolworths                             84.21                     6,643.95
26-Mar      Pub Dinner                             41.20                     6,602.75
28-Mar      Rent Payment                          575.00                     6,027.75
31-Mar      Interest Credit                                      1.62        6,029.37
31-Mar      Coles                                  92.40                     5,936.97

------------------------------------------------------------------------------------------------
Total Income:            $9,604.45
Total Expenses:          $9,150.90
