SAMPLE BANK STATEMENT

Account Holder: Alex Nguyen
Account Number: XXXX-XXXX
Period: 01 Jan 2025 - 31 Mar 2025
Starting Balance: $2,100.00

DATE        DESCRIPTION                               DEBIT       CREDIT      BALANCE
------------------------------------------------------------------------------------------------
01-Jan      Opening Balance                                                  2,100.00
02-Jan      Employer Payroll                                    1,600.00     3,700.00
03-Jan      Share House Rent                      300.00                     3,400.00
04-Jan      Aldi                                  54.20                     3,345.80
05-Jan      Ampol Fuel                            28.50                     3,317.30
06-Jan      Spotify Premium                       11.99                     3,305.31
08-Jan      Optus Prepaid                         20.00                     3,285.31
11-Jan      Coles                                 42.60                     3,242.71
14-Jan      Woolworths                            38.40                     3,204.31

16-Jan      Employer Payroll                                    1,600.00     4,804.31

18-Jan      Local Gym                             15.00                     4,789.31
20-Jan      Utilities                             20.00                     4,769.31
22-Jan      Aldi                                  51.75                     4,717.56
24-Jan      Cafe                                  4.80                      4,712.76
25-Jan      Ampol Fuel                            28.00                     4,684.76
28-Jan      Coles                                 39.10                     4,645.66
31-Jan      Interest Credit                                     5.12         4,650.78
31-Jan      Share House Rent                     300.00                     4,350.78

30-Jan      Employer Payroll                                   1,600.00      5,950.78

03-Feb      Aldi                                  47.50                     5,903.28
05-Feb      Spotify Premium                       11.99                     5,891.29
08-Feb      Optus Prepaid                         20.00                     5,871.29
10-Feb      Local Gym                             15.00                     5,856.29
12-Feb      Coles                                 40.20                     5,816.09

13-Feb      Employer Payroll                                    1,600.00     7,416.09

15-Feb      Share House Rent                     300.00                     7,116.09
18-Feb      Utilities                             20.00                     7,096.09
20-Feb      Woolworths                            44.80                     7,051.29
22-Feb      Fuel                                 29.90                      7,021.39
24-Feb      Cafe                                  5.20                      7,016.19
26-Feb      Aldi                                 52.40                      6,963.79
28-Feb      Interest Credit                                     5.45         6,969.24

27-Feb      Employer Payroll                                   1,600.00      8,569.24

03-Mar      Coles                                 43.90                     8,525.34
05-Mar      Spotify Premium                       11.99                     8,513.35
08-Mar      Optus Prepaid                         20.00                     8,493.35
10-Mar      Local Gym                             15.00                     8,478.35
12-Mar      Aldi                                  49.70                     8,428.65

13-Mar      Employer Payroll                                   1,600.00     10,028.65

15-Mar      Share House Rent                     300.00                     9,728.65
18-Mar      Utilities                             20.00                     9,708.65
20-Mar      Fuel                                 31.50                      9,677.15
22-Mar      Woolworths                            46.50                     9,630.65
24-Mar      Cafe                                  5.40                      9,625.25
26-Mar      Coles                                 41.80                     9,583.45
28-Mar      Interest Credit                                     6.20         9,589.65
31-Mar      Transfer to Savings Acct           5,700.00                     3,889.65

------------------------------------------------------------------------------------------------
Total Income:            $9,616.77
Total Expenses:          $3,865.12
Savings Rate:                59.8%
